                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.92677,                0.91321,                 1.2422,                0.99188,                0.95188,                 1.2591,                0.81393,                0.83062,                0.86156,                0.59958,                0.99188,                0.74508,                 1.4459,                 1.0093,                0.68119,                 1.4576,               0.009274,               0.009274,               0.009274
                     25,                0.91275,                0.90848,                 1.2359,                0.97383,                0.95225,                 1.2505,                0.78783,                0.87757,                 0.8823,                0.60707,                 1.0128,                0.70377,                 1.4586,                  1.029,                0.63339,                 1.4652,               0.009241,               0.009241,               0.009241
                     26,                0.91523,                0.89266,                 1.2361,                0.97718,                0.93182,                 1.2516,                0.85787,                0.84898,                0.89887,                0.62517,                 1.0025,                 0.6793,                 1.4517,                 1.0253,                0.59957,                 1.4618,               0.009208,               0.009208,               0.009208
                     27,                0.90539,                0.87218,                 1.2326,                0.96462,                0.91579,                 1.2474,                0.85473,                 0.8572,                0.89474,                0.63071,                0.98266,                0.68273,                 1.4357,                0.99781,                0.62241,                 1.4461,               0.009175,               0.009175,               0.009175
                     28,                0.89971,                0.87099,                  1.228,                0.95551,                0.91716,                 1.2427,                0.81096,                0.87523,                0.88584,                0.61981,                0.97745,                0.66524,                 1.4431,                 0.9909,                 0.6194,                 1.4431,               0.009142,               0.009142,               0.009142
                     29,                0.89517,                0.85455,                  1.226,                0.94569,                0.90257,                 1.2398,                0.83861,                0.85963,                0.89605,                0.62177,                0.98984,                0.68153,                  1.441,                 1.0212,                0.61608,                  1.452,               0.009109,               0.009109,               0.009109
                     30,                0.89186,                0.85815,                 1.2226,                0.94861,                0.88598,                  1.237,                0.83613,                0.85002,                0.88748,                0.62414,                0.97508,                0.70174,                 1.4262,                 1.0135,                0.65426,                 1.4534,               0.009076,               0.009076,               0.009076
                     31,                0.88828,                0.84854,                 1.2199,                0.94535,                0.88229,                 1.2317,                0.86919,                 0.8658,                 0.9081,                0.63602,                 0.9813,                0.66884,                 1.4387,                0.99366,                0.59416,                 1.4382,               0.009043,               0.009043,               0.009043
                     32,                0.88865,                0.82129,                 1.2211,                0.94266,                 0.8648,                 1.2331,                0.83972,                0.88913,                0.90834,                0.63749,                0.99372,                0.63358,                 1.4445,                 1.0077,                0.57179,                 1.4524,                0.00901,                0.00901,                0.00901
                     33,                 0.8871,                 0.8352,                  1.218,                0.94109,                0.86826,                 1.2324,                0.84542,                0.89112,                0.91287,                0.63581,                0.98037,                0.63402,                  1.432,                 1.0046,                0.58105,                  1.442,               0.008977,               0.008977,               0.008977
