                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.69085,                0.55407,                 1.1104,                0.74013,                0.57963,                 1.1232,                0.89472,                0.90188,                0.92612,                0.63904,                 1.0314,                0.62441,                 1.5683,                 1.0578,                 0.5856,                 1.5728,               0.006634,               0.006634,               0.006634
                    105,                0.68448,                0.54522,                 1.1057,                 0.7335,                0.57708,                  1.118,                0.88767,                0.91135,                0.92647,                  0.636,                 1.0327,                0.62371,                 1.5706,                 1.0599,                0.58246,                 1.5744,               0.006601,               0.006601,               0.006601
                    106,                0.68739,                0.54357,                 1.1088,                0.73381,                0.57629,                  1.121,                0.89254,                0.90538,                0.92523,                0.63507,                 1.0328,                0.62372,                 1.5714,                 1.0591,                0.58612,                  1.574,               0.006568,               0.006568,               0.006568
                    107,                0.68472,                0.54221,                 1.1062,                0.73411,                0.58049,                 1.1199,                0.88665,                0.90474,                  0.924,                0.63528,                 1.0352,                 0.6209,                 1.5752,                 1.0575,                0.59245,                  1.572,               0.006535,               0.006535,               0.006535
                    108,                0.67603,                0.53602,                 1.0993,                0.72513,                0.57679,                 1.1141,                0.89182,                0.90361,                0.92364,                0.63476,                 1.0373,                0.61813,                 1.5782,                 1.0616,                 0.5917,                 1.5741,               0.006502,               0.006502,               0.006502
                    109,                0.68137,                0.54029,                 1.1037,                0.72874,                0.57113,                 1.1162,                  0.888,                0.91003,                0.92328,                0.63451,                 1.0393,                0.61443,                 1.5805,                 1.0644,                0.59003,                 1.5758,               0.006469,               0.006469,               0.006469
                    110,                0.67589,                0.53708,                 1.1003,                0.72746,                0.56323,                  1.114,                0.88098,                0.90944,                0.92255,                0.63379,                 1.0397,                0.61276,                 1.5815,                 1.0643,                 0.5931,                 1.5756,               0.006436,               0.006436,               0.006436
                    111,                0.67515,                0.53398,                 1.0999,                0.72228,                0.56365,                 1.1127,                0.88323,                0.90816,                0.92487,                0.63565,                   1.04,                0.61174,                 1.5829,                 1.0642,                0.59288,                 1.5764,               0.006403,               0.006403,               0.006403
                    112,                   0.67,                0.53978,                 1.0984,                0.72002,                 0.5702,                  1.112,                0.88871,                0.90506,                0.92558,                0.63687,                 1.0392,                0.61097,                 1.5829,                 1.0623,                0.59314,                 1.5759,                0.00637,                0.00637,                0.00637
                    113,                0.66929,                0.52968,                 1.0949,                0.71942,                0.56863,                 1.1092,                0.88959,                0.90388,                0.92605,                 0.6381,                 1.0398,                0.61108,                 1.5838,                 1.0594,                0.59785,                 1.5751,               0.006337,               0.006337,               0.006337
                    114,                0.67108,                0.53278,                 1.0987,                0.71957,                0.56201,                 1.1124,                0.89367,                0.90259,                0.92623,                0.63765,                 1.0393,                0.61053,                  1.584,                 1.0584,                0.59808,                 1.5749,               0.006304,               0.006304,               0.006304
                    115,                0.66596,                 0.5331,                 1.0958,                0.71841,                0.55776,                 1.1097,                0.89632,                 0.8965,                0.92569,                0.63816,                 1.0396,                0.60971,                 1.5849,                 1.0607,                0.59538,                 1.5795,               0.006271,               0.006271,               0.006271
                    116,                0.66767,                0.52606,                 1.0962,                0.72035,                0.54874,                 1.1089,                0.89458,                0.89995,                0.92654,                0.63708,                 1.0401,                0.60956,                 1.5856,                 1.0608,                0.59463,                 1.5796,               0.006238,               0.006238,               0.006238
                    117,                0.66451,                0.52969,                  1.093,                0.71435,                0.55287,                 1.1056,                 0.8979,                0.89982,                 0.9259,                0.63636,                   1.04,                0.60844,                 1.5856,                  1.061,                0.59321,                  1.581,               0.006205,               0.006205,               0.006205
                    118,                0.65871,                0.51988,                 1.0881,                0.70659,                0.54644,                 1.0996,                0.89812,                0.90174,                0.92701,                0.63775,                 1.0393,                0.60663,                 1.5852,                 1.0601,                 0.5917,                 1.5811,               0.006172,               0.006172,               0.006172
                    119,                0.65942,                0.52449,                 1.0918,                0.70948,                0.54905,                 1.1047,                0.89798,                0.90101,                0.92776,                0.63855,                   1.04,                0.60488,                 1.5867,                 1.0613,                0.59089,                 1.5818,               0.006139,               0.006139,               0.006139
                    120,                0.66247,                0.51813,                 1.0921,                0.71286,                0.54485,                 1.1066,                0.89835,                0.89959,                0.92681,                0.63696,                 1.0404,                0.60543,                 1.5876,                 1.0601,                0.59269,                 1.5822,               0.006106,               0.006106,               0.006106
                    121,                0.65173,                0.51456,                 1.0876,                 0.7024,                0.53557,                 1.1016,                0.89186,                0.89951,                0.92653,                0.63582,                 1.0404,                0.60478,                 1.5888,                 1.0588,                0.59247,                 1.5818,               0.006073,               0.006073,               0.006073
                    122,                0.65153,                0.51721,                 1.0886,                0.70231,                0.54227,                 1.1024,                0.88688,                0.90007,                  0.926,                0.63688,                 1.0401,                0.60456,                 1.5888,                  1.059,                0.59197,                 1.5834,                0.00604,                0.00604,                0.00604
                    123,                0.65203,                   0.52,                 1.0859,                0.70191,                0.55297,                    1.1,                0.89154,                0.90099,                0.92636,                0.63791,                 1.0401,                 0.6039,                 1.5893,                 1.0596,                0.58607,                 1.5847,               0.006007,               0.006007,               0.006007
