                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.76823,                0.63626,                 1.1524,                0.81938,                0.67319,                  1.165,                 0.8734,                0.86889,                0.90431,                0.61201,                  1.049,                0.65258,                 1.5486,                  1.081,                0.59504,                  1.564,              0.0066492,              0.0066492,              0.0066492
                     25,                0.76031,                0.62167,                 1.1483,                0.81032,                0.65445,                 1.1612,                0.87732,                0.87091,                0.90507,                0.61271,                 1.0417,                0.67175,                 1.5412,                 1.0823,                0.61389,                 1.5571,              0.0064969,              0.0064969,              0.0064969
                     26,                0.75708,                0.61592,                 1.1472,                0.80614,                0.64608,                 1.1598,                0.83049,                0.90149,                0.90387,                0.60745,                 1.0637,                0.64315,                  1.556,                 1.0908,                0.60014,                 1.5677,              0.0063446,              0.0063446,              0.0063446
                     27,                0.74718,                0.60697,                 1.1433,                0.79593,                0.63464,                 1.1554,                0.87978,                0.84444,                0.90167,                0.60587,                 1.0617,                0.64451,                 1.5611,                 1.0934,                 0.6055,                 1.5635,              0.0061923,              0.0061923,              0.0061923
                     28,                0.74432,                 0.6018,                 1.1412,                 0.7943,                0.63208,                 1.1552,                0.88651,                0.86167,                0.90663,                0.60471,                  1.072,                0.63377,                 1.5739,                 1.0944,                0.59943,                 1.5681,                0.00604,                0.00604,                0.00604
                     29,                0.73505,                0.59156,                 1.1352,                0.78114,                0.62106,                 1.1481,                0.86245,                0.88692,                0.90975,                0.61392,                 1.0698,                0.62184,                 1.5518,                  1.097,                0.58656,                 1.5648,              0.0058877,              0.0058877,              0.0058877
                     30,                0.73642,                0.58441,                 1.1366,                0.78407,                0.61234,                 1.1484,                0.86098,                0.90344,                0.91394,                0.60987,                  1.082,                0.63887,                  1.572,                 1.1015,                0.59971,                 1.5711,              0.0057354,              0.0057354,              0.0057354
                     31,                0.73043,                0.58259,                 1.1316,                0.78135,                0.60616,                 1.1444,                0.88809,                0.87796,                0.91735,                0.61596,                 1.0663,                 0.6189,                  1.579,                 1.0837,                0.58535,                 1.5803,              0.0055831,              0.0055831,              0.0055831
                     32,                0.71903,                0.57219,                 1.1254,                0.76738,                0.60739,                 1.1386,                0.88261,                0.88812,                0.91284,                0.59983,                 1.0913,                0.62305,                 1.6005,                 1.1166,                0.57608,                 1.5971,              0.0054308,              0.0054308,              0.0054308
                     33,                0.72351,                0.57468,                 1.1282,                0.77445,                0.60622,                 1.1427,                0.88403,                0.88397,                0.91007,                0.61053,                  1.055,                0.62654,                 1.5779,                 1.0849,                 0.5762,                 1.5864,              0.0052785,              0.0052785,              0.0052785
                     34,                0.71422,                0.56835,                 1.1236,                0.76411,                0.59802,                 1.1353,                 0.8682,                0.89899,                0.90472,                0.60915,                 1.0516,                0.63559,                 1.5579,                 1.0806,                0.58254,                 1.5688,              0.0051262,              0.0051262,              0.0051262
                     35,                0.70746,                0.55322,                 1.1194,                0.75523,                 0.5813,                 1.1321,                 0.8811,                0.87582,                0.90811,                0.60916,                 1.0488,                0.64511,                 1.5692,                 1.0825,                0.61886,                 1.5855,              0.0049738,              0.0049738,              0.0049738
                     36,                0.69684,                0.54724,                 1.1118,                0.74627,                0.57149,                 1.1252,                0.87592,                0.89244,                0.91359,                0.61347,                 1.0656,                0.63341,                 1.5824,                 1.0937,                0.59464,                 1.5898,              0.0048215,              0.0048215,              0.0048215
                     37,                0.69648,                0.54789,                 1.1124,                0.74404,                0.57389,                 1.1249,                0.89274,                 0.8831,                0.91636,                0.61406,                 1.0546,                0.63094,                 1.5789,                 1.0892,                0.59611,                  1.587,              0.0046692,              0.0046692,              0.0046692
                     38,                0.69662,                0.54506,                  1.113,                0.74508,                0.56743,                 1.1249,                0.86958,                0.88618,                0.91061,                0.61686,                 1.0557,                0.61307,                 1.5888,                 1.0812,                0.58584,                 1.6012,              0.0045169,              0.0045169,              0.0045169
                     39,                0.68923,                 0.5429,                 1.1122,                0.73451,                0.57023,                 1.1237,                0.88142,                0.88283,                0.91117,                0.61389,                 1.0583,                0.62548,                 1.5916,                 1.0803,                0.60949,                 1.5941,              0.0043646,              0.0043646,              0.0043646
                     40,                0.67869,                0.52608,                 1.1048,                0.72491,                0.54674,                  1.117,                0.88712,                0.87778,                0.90694,                0.61095,                 1.0765,                0.62505,                 1.6204,                 1.0949,                0.61261,                 1.6111,              0.0042123,              0.0042123,              0.0042123
                     41,                0.67659,                0.52684,                 1.1067,                0.72199,                0.55569,                 1.1186,                0.87319,                0.89674,                0.90987,                0.61696,                 1.0821,                0.63068,                 1.6219,                 1.0973,                0.60415,                 1.6064,                0.00406,                0.00406,                0.00406
                     42,                0.66906,                0.51852,                 1.1018,                0.71145,                0.55093,                 1.1124,                0.89358,                0.88293,                0.91522,                0.61991,                 1.0655,                0.63047,                 1.6077,                  1.085,                0.59596,                 1.6032,              0.0039077,              0.0039077,              0.0039077
                     43,                0.67399,                0.53216,                 1.1011,                0.72057,                0.55912,                 1.1133,                0.90081,                 0.8832,                0.92185,                0.61872,                 1.0654,                0.61861,                 1.6125,                 1.0962,                0.58939,                 1.6213,              0.0037554,              0.0037554,              0.0037554
                     44,                0.66418,                0.51989,                 1.0975,                0.70942,                0.54965,                 1.1087,                0.89208,                0.89233,                0.91974,                0.62187,                 1.0802,                0.61977,                 1.6211,                 1.0925,                0.59157,                 1.6245,              0.0036031,              0.0036031,              0.0036031
                     45,                0.65847,                  0.518,                 1.0971,                0.70189,                0.54804,                 1.1083,                   0.89,                0.87971,                0.90985,                0.60764,                 1.0919,                0.62859,                 1.6457,                  1.112,                0.61999,                 1.6493,              0.0034508,              0.0034508,              0.0034508
                     46,                0.65245,                0.50784,                 1.0902,                 0.6952,                0.53769,                 1.1026,                0.89682,                0.88151,                0.90982,                0.60709,                 1.0705,                0.64301,                 1.6309,                 1.1069,                0.62381,                 1.6499,              0.0032985,              0.0032985,              0.0032985
                     47,                0.65341,                0.50293,                 1.0898,                0.69767,                0.52836,                 1.1023,                0.90328,                0.86447,                0.91198,                0.60943,                 1.0691,                0.63658,                 1.6411,                 1.0939,                0.61996,                 1.6381,              0.0031462,              0.0031462,              0.0031462
                     48,                0.63991,                0.49562,                 1.0836,                0.68542,                0.52371,                 1.0961,                 0.8896,                0.88286,                0.91059,                0.61009,                 1.0768,                0.64072,                 1.6486,                 1.0996,                0.62847,                 1.6515,              0.0029938,              0.0029938,              0.0029938
                     49,                0.63694,                 0.4916,                 1.0831,                 0.6805,                 0.5195,                  1.095,                0.90427,                0.87898,                0.90865,                0.60562,                 1.0812,                0.64783,                 1.6769,                 1.1013,                0.62671,                 1.6788,              0.0028415,              0.0028415,              0.0028415
                     50,                0.63129,                0.48098,                 1.0808,                0.67472,                0.50409,                 1.0925,                0.89105,                0.88519,                0.90145,                0.60054,                 1.0837,                0.65829,                 1.6732,                 1.0991,                0.64501,                 1.6649,              0.0026892,              0.0026892,              0.0026892
                     51,                0.63004,                 0.4775,                 1.0791,                0.67229,                 0.5035,                 1.0903,                0.89877,                0.88644,                0.90676,                0.60514,                  1.084,                0.64518,                  1.683,                 1.1011,                0.64447,                 1.6735,              0.0025369,              0.0025369,              0.0025369
                     52,                0.62212,                0.48138,                 1.0754,                0.66397,                 0.5114,                 1.0855,                0.88827,                0.88696,                0.90781,                0.61173,                 1.0668,                0.63451,                 1.6637,                  1.099,                0.61145,                 1.6752,              0.0023846,              0.0023846,              0.0023846
                     53,                0.61646,                0.47461,                 1.0707,                0.66073,                0.49641,                 1.0826,                0.87979,                0.88971,                0.90638,                0.61213,                 1.0585,                0.65204,                 1.6596,                 1.0927,                0.63892,                 1.6725,              0.0022323,              0.0022323,              0.0022323
                     54,                0.61124,                0.46256,                 1.0696,                0.65295,                0.48539,                 1.0816,                0.89503,                0.88733,                0.90803,                0.61252,                 1.0678,                0.63545,                 1.6671,                 1.0906,                0.63992,                 1.6662,                0.00208,                0.00208,                0.00208
                     55,                0.60693,                0.46563,                 1.0683,                0.65299,                0.48701,                 1.0803,                0.89566,                0.89122,                0.91578,                0.61579,                 1.0757,                0.63775,                 1.6787,                 1.0934,                0.61669,                 1.6676,              0.0019277,              0.0019277,              0.0019277
                     56,                0.44703,                0.24345,                  1.017,                0.46397,                0.17746,                 1.0298,                0.87986,                0.89463,                0.90832,                0.60696,                 1.0726,                0.66732,                  1.692,                 1.1009,                 0.6544,                 1.6872,              0.0017754,              0.0017754,              0.0017754
                     57,                0.42813,                0.23192,                 1.0083,                0.44558,                0.16369,                 1.0227,                0.88831,                0.88297,                 0.9058,                0.60472,                 1.0716,                0.66086,                  1.707,                 1.1084,                0.63939,                 1.7061,              0.0016231,              0.0016231,              0.0016231
                     58,                0.41542,                0.22277,                0.99794,                0.42972,                0.15529,                 1.0082,                0.87528,                0.89233,                0.90738,                0.60516,                 1.0818,                0.66028,                 1.7329,                 1.1078,                0.66123,                 1.7243,              0.0014708,              0.0014708,              0.0014708
                     59,                0.40522,                0.22023,                0.99081,                0.41964,                0.15369,                 1.0019,                0.88988,                 0.8915,                0.90735,                0.60833,                 1.0792,                 0.6545,                 1.7302,                 1.1055,                0.65216,                 1.7185,              0.0013185,              0.0013185,              0.0013185
                     60,                0.39476,                0.20911,                0.98479,                0.40586,                0.14289,                0.99409,                0.89871,                0.87281,                0.90813,                0.60963,                 1.0772,                0.65369,                 1.7433,                 1.0997,                0.66186,                 1.7304,              0.0011662,              0.0011662,              0.0011662
                     61,                0.38635,                0.20776,                0.98049,                0.39926,                0.14488,                0.99125,                0.89873,                0.88192,                 0.9084,                0.60781,                  1.069,                0.65199,                 1.7456,                  1.093,                0.65147,                 1.7344,              0.0010138,              0.0010138,              0.0010138
                     62,                0.37739,                0.20187,                0.97315,                0.39252,                0.13874,                0.98464,                0.88811,                0.89983,                0.90933,                0.60515,                 1.0767,                0.65897,                 1.7627,                 1.0969,                 0.6626,                 1.7489,             0.00086154,             0.00086154,             0.00086154
                     63,                0.36777,                0.19657,                0.97031,                 0.3813,                0.13552,                0.98125,                0.89456,                0.88849,                0.91118,                0.60751,                 1.0731,                0.66489,                 1.7704,                 1.0972,                0.66062,                 1.7609,             0.00070923,             0.00070923,             0.00070923
                     64,                0.36573,                0.19312,                0.96585,                0.37794,                0.13163,                0.97608,                0.89732,                0.88714,                0.90549,                0.60479,                 1.0816,                0.67264,                 1.7885,                  1.104,                0.66812,                 1.7795,             0.00055692,             0.00055692,             0.00055692
                     65,                0.35834,                0.18924,                0.96189,                0.36844,                0.12655,                0.97043,                0.89568,                0.89356,                0.90383,                0.60195,                 1.0795,                0.67562,                 1.7878,                 1.1006,                0.67316,                  1.778,             0.00040462,             0.00040462,             0.00040462
