               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024522,             0.01113,            0.020142,             0.82536,             0.88284,             0.87945,             0.56773,            0.015294,           0.0035198,            0.010119,            0.009307,            0.009307,            0.009307
                  37,            0.024744,            0.011205,             0.02073,             0.82587,             0.87176,             0.87346,             0.58686,            0.015056,           0.0033541,           0.0088928,           0.0092872,           0.0092872,           0.0092872
                  38,            0.024685,            0.011086,            0.020752,              0.8187,             0.86372,              0.8721,             0.57318,            0.014546,           0.0034423,             0.01145,           0.0092674,           0.0092674,           0.0092674
                  39,            0.024603,            0.011131,            0.020314,             0.85006,             0.87695,             0.88842,             0.58819,            0.015112,           0.0033975,           0.0088723,           0.0092476,           0.0092476,           0.0092476
                  40,            0.024691,             0.01117,            0.020881,             0.84938,             0.87145,             0.88726,             0.58074,            0.014991,           0.0034467,           0.0078459,           0.0092278,           0.0092278,           0.0092278
                  41,            0.024606,            0.011119,             0.02055,             0.83355,             0.86937,             0.87378,             0.58573,             0.01489,           0.0034392,           0.0092463,            0.009208,            0.009208,            0.009208
                  42,             0.02463,            0.011201,            0.020648,              0.8388,             0.85967,             0.87916,             0.58228,            0.014675,           0.0033947,            0.011414,           0.0091882,           0.0091882,           0.0091882
                  43,            0.024545,            0.011258,            0.020194,             0.83098,             0.88606,             0.87845,             0.57725,            0.015092,           0.0033819,           0.0092025,           0.0091684,           0.0091684,           0.0091684
                  44,            0.024658,            0.011119,            0.020289,             0.83177,             0.84263,              0.8726,             0.57479,            0.015323,           0.0034442,            0.011384,           0.0091486,           0.0091486,           0.0091486
                  45,            0.024533,            0.011141,            0.020113,             0.84119,             0.85545,             0.87224,             0.57874,            0.014667,           0.0034085,           0.0076924,           0.0091288,           0.0091288,           0.0091288
                  46,            0.024488,            0.011235,            0.020509,             0.85487,             0.87944,             0.89243,             0.59081,            0.014487,           0.0033656,           0.0063207,            0.009109,            0.009109,            0.009109
                  47,            0.024532,            0.011121,            0.020389,             0.81004,             0.87414,              0.8669,              0.5734,            0.014176,           0.0034262,            0.007891,           0.0090892,           0.0090892,           0.0090892
                  48,            0.024469,            0.011131,            0.020316,             0.84535,             0.86034,             0.87392,             0.58031,            0.014879,           0.0033791,            0.013352,           0.0090694,           0.0090694,           0.0090694
                  49,            0.024525,            0.011125,            0.020622,             0.80079,             0.86179,             0.86899,             0.57939,            0.014998,           0.0034154,            0.010314,           0.0090496,           0.0090496,           0.0090496
                  50,            0.024627,            0.011147,            0.020233,              0.8005,             0.87576,             0.85481,             0.56279,            0.014926,           0.0034503,            0.011351,           0.0090298,           0.0090298,           0.0090298
                  51,             0.02455,            0.011068,            0.020447,             0.82122,             0.87936,              0.8766,             0.57968,            0.014849,           0.0034066,           0.0095053,             0.00901,             0.00901,             0.00901
                  52,            0.024336,             0.01109,            0.020122,             0.86258,               0.889,             0.89624,             0.58881,             0.01472,           0.0034279,           0.0096385,           0.0089902,           0.0089902,           0.0089902
                  53,            0.024461,            0.011115,            0.020059,             0.81605,             0.84701,             0.86851,             0.58527,            0.014509,           0.0033627,            0.010638,           0.0089704,           0.0089704,           0.0089704
                  54,             0.02429,            0.011062,            0.019327,             0.83283,             0.90318,             0.89522,             0.59352,            0.014459,           0.0033737,           0.0085229,           0.0089506,           0.0089506,           0.0089506
