                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90764,                0.89547,                 1.1126,                0.84968,                0.89433,                0.90334,                0.65298,                0.95402,                0.63819,                 1.1738,               0.008845,               0.008845,               0.008845
                     37,                0.90765,                0.88451,                 1.1129,                0.83198,                0.90447,                0.90499,                 0.6556,                 0.9528,                0.63354,                 1.1744,               0.008812,               0.008812,               0.008812
                     38,                0.90765,                0.87397,                 1.1096,                 0.8311,                0.91297,                 0.9023,                0.65325,                0.96256,                0.63083,                 1.1862,               0.008779,               0.008779,               0.008779
                     39,                0.90548,                 0.8774,                 1.1099,                0.85622,                0.89325,                0.90288,                0.65196,                0.95995,                0.63835,                 1.1786,               0.008746,               0.008746,               0.008746
                     40,                0.90292,                0.87713,                 1.1088,                0.87315,                0.87817,                0.90996,                0.65293,                0.97402,                0.62446,                 1.1803,               0.008713,               0.008713,               0.008713
                     41,                0.89817,                0.86325,                 1.1078,                0.84945,                0.91271,                0.90393,                0.65506,                0.95835,                0.61522,                 1.1782,                0.00868,                0.00868,                0.00868
                     42,                0.89226,                0.84882,                  1.103,                0.87944,                0.87658,                0.90903,                0.65261,                0.98326,                0.61214,                 1.1895,               0.008647,               0.008647,               0.008647
                     43,                0.88807,                0.84864,                 1.1031,                0.87196,                 0.8766,                 0.9083,                0.65825,                0.97473,                0.61087,                 1.1859,               0.008614,               0.008614,               0.008614
                     44,                0.88609,                0.85324,                 1.1039,                0.86517,                0.89731,                 0.9102,                0.65716,                 0.9672,                0.61178,                 1.1872,               0.008581,               0.008581,               0.008581
                     45,                0.88399,                0.84276,                 1.0997,                0.85732,                0.89555,                0.90247,                0.65028,                 0.9664,                0.61714,                 1.1876,               0.008548,               0.008548,               0.008548
                     46,                0.88474,                0.83907,                 1.1007,                0.86147,                0.88996,                0.90608,                0.65313,                0.96179,                0.61682,                 1.1855,               0.008515,               0.008515,               0.008515
                     47,                0.88059,                0.83166,                 1.0989,                0.87626,                0.90163,                0.91526,                0.65562,                0.97157,                 0.5993,                 1.1927,               0.008482,               0.008482,               0.008482
                     48,                0.87792,                0.83243,                 1.0982,                0.85223,                0.91275,                0.91011,                0.65916,                0.96463,                0.61489,                 1.1914,               0.008449,               0.008449,               0.008449
                     49,                0.88442,                0.83442,                 1.1014,                0.85136,                0.89165,                0.90637,                0.65015,                0.96869,                0.62769,                 1.1876,               0.008416,               0.008416,               0.008416
                     50,                0.87235,                0.81799,                 1.0942,                0.88022,                0.88108,                0.91617,                0.66057,                0.97435,                0.59331,                 1.1941,               0.008383,               0.008383,               0.008383
                     51,                0.86738,                0.81012,                 1.0972,                0.84595,                0.92215,                0.91555,                 0.6599,                 0.9721,                0.58466,                 1.1929,                0.00835,                0.00835,                0.00835
                     52,                0.86709,                0.80535,                 1.0914,                0.87925,                0.89055,                0.90873,                0.65631,                0.97201,                 0.6156,                 1.1872,               0.008317,               0.008317,               0.008317
                     53,                0.86191,                0.80471,                 1.0916,                 0.8648,                0.90833,                0.91376,                0.65673,                0.97659,                0.60535,                 1.1938,               0.008284,               0.008284,               0.008284
                     54,                0.86104,                0.80133,                 1.0922,                0.87234,                0.89886,                0.91717,                0.66518,                0.97897,                 0.5849,                 1.1964,               0.008251,               0.008251,               0.008251
                     55,                0.86788,                0.80487,                  1.095,                0.87469,                0.90021,                0.91628,                0.65732,                 0.9773,                0.58488,                  1.195,               0.008218,               0.008218,               0.008218
                     56,                0.85924,                0.79736,                  1.092,                0.86291,                0.89425,                0.91035,                0.65412,                0.98185,                0.59653,                 1.2008,               0.008185,               0.008185,               0.008185
                     57,                0.85607,                 0.7919,                 1.0881,                0.88183,                0.88164,                0.91146,                0.65812,                0.97546,                 0.5975,                 1.1945,               0.008152,               0.008152,               0.008152
                     58,                0.85708,                0.78434,                 1.0865,                0.87123,                0.89835,                0.91307,                0.65613,                 0.9722,                0.59562,                 1.1969,               0.008119,               0.008119,               0.008119
                     59,                0.85399,                0.77313,                 1.0865,                 0.8756,                0.89503,                0.91271,                0.65943,                0.98469,                 0.5923,                 1.2025,               0.008086,               0.008086,               0.008086
                     60,                0.85215,                0.77077,                 1.0855,                0.87884,                0.90841,                0.91251,                0.65892,                 0.9809,                0.58646,                 1.2025,               0.008053,               0.008053,               0.008053
                     61,                0.85252,                0.77276,                 1.0862,                0.87902,                0.90394,                0.91486,                0.65744,                0.98028,                0.57767,                 1.2064,                0.00802,                0.00802,                0.00802
                     62,                0.84733,                0.76605,                 1.0838,                0.88371,                0.89989,                0.91883,                0.66286,                0.97509,                0.56945,                 1.2024,               0.007987,               0.007987,               0.007987
                     63,                0.85145,                0.76474,                 1.0886,                0.87276,                0.91326,                0.91728,                0.65836,                0.98294,                0.57313,                 1.2082,               0.007954,               0.007954,               0.007954
                     64,                 0.8476,                0.75805,                 1.0835,                0.88781,                0.90182,                0.92269,                0.66402,                0.99071,                 0.5688,                 1.2162,               0.007921,               0.007921,               0.007921
                     65,                0.84732,                0.76293,                 1.0829,                0.88549,                0.89143,                0.91915,                0.66316,                0.98685,                0.57366,                 1.2058,               0.007888,               0.007888,               0.007888
                     66,                0.84065,                0.74949,                 1.0808,                0.89085,                0.90027,                0.92271,                0.66638,                0.98647,                0.56765,                 1.2046,               0.007855,               0.007855,               0.007855
                     67,                0.84305,                0.75081,                 1.0797,                0.88053,                 0.8967,                0.91478,                0.65703,                0.99794,                0.57546,                 1.2098,               0.007822,               0.007822,               0.007822
                     68,                 0.8359,                0.74978,                 1.0762,                0.86841,                0.90267,                 0.9167,                0.65878,                0.98961,                0.57964,                 1.2049,               0.007789,               0.007789,               0.007789
                     69,                0.83041,                0.73761,                 1.0779,                0.88289,                0.89778,                0.91572,                0.65856,                 0.9883,                0.58183,                 1.2076,               0.007756,               0.007756,               0.007756
                     70,                0.83078,                0.74202,                 1.0797,                0.87784,                0.89781,                0.91667,                0.65745,                0.99149,                0.57678,                 1.2105,               0.007723,               0.007723,               0.007723
                     71,                0.82706,                0.72987,                 1.0751,                0.86351,                0.91259,                0.91872,                0.65878,                0.99286,                0.57448,                 1.2146,                0.00769,                0.00769,                0.00769
                     72,                0.82806,                0.72961,                 1.0757,                0.88377,                0.89894,                0.92238,                0.66336,                 0.9922,                0.56494,                  1.218,               0.007657,               0.007657,               0.007657
                     73,                0.82305,                0.72756,                 1.0744,                0.89335,                0.89725,                 0.9233,                0.66434,                0.98878,                 0.5598,                 1.2146,               0.007624,               0.007624,               0.007624
                     74,                0.82559,                0.72469,                 1.0738,                0.89349,                0.89831,                0.92047,                0.66272,                0.98756,                0.56347,                 1.2163,               0.007591,               0.007591,               0.007591
                     75,                0.81842,                0.73031,                  1.073,                0.89661,                0.89603,                0.92104,                0.66379,                0.99102,                0.56524,                  1.216,               0.007558,               0.007558,               0.007558
                     76,                0.81835,                0.71501,                 1.0706,                0.89156,                0.88728,                0.92077,                0.66192,                0.99624,                0.56598,                 1.2194,               0.007525,               0.007525,               0.007525
                     77,                0.81546,                 0.7156,                 1.0716,                0.88016,                0.90647,                0.91834,                0.66151,                0.99564,                0.56809,                 1.2163,               0.007492,               0.007492,               0.007492
                     78,                 0.8125,                 0.7105,                 1.0706,                0.86781,                0.92416,                0.91918,                0.66241,                0.99605,                0.56842,                 1.2177,               0.007459,               0.007459,               0.007459
                     79,                 0.8148,                0.71064,                 1.0689,                0.88099,                0.90367,                0.92026,                0.66453,                0.99893,                0.56571,                 1.2225,               0.007426,               0.007426,               0.007426
                     80,                0.81557,                0.71054,                 1.0683,                0.88917,                0.90297,                0.92188,                0.66715,                 1.0027,                 0.5676,                  1.226,               0.007393,               0.007393,               0.007393
                     81,                0.80726,                0.70167,                 1.0659,                0.88598,                0.90505,                 0.9212,                  0.664,                 1.0065,                0.56754,                 1.2269,                0.00736,                0.00736,                0.00736
                     82,                0.80211,                0.69603,                 1.0638,                0.89167,                0.90616,                0.92325,                0.66431,                 1.0086,                0.56863,                   1.23,               0.007327,               0.007327,               0.007327
                     83,                0.80148,                0.69811,                 1.0633,                0.89562,                0.90298,                0.92558,                0.66457,                 1.0109,                0.56559,                 1.2331,               0.007294,               0.007294,               0.007294
                     84,                0.79887,                0.68921,                 1.0644,                0.90495,                0.89641,                0.92702,                0.66551,                  1.011,                0.56238,                 1.2351,               0.007261,               0.007261,               0.007261
                     85,                0.80237,                0.68856,                 1.0643,                0.89391,                0.90553,                0.92589,                0.66514,                  1.014,                0.56145,                 1.2379,               0.007228,               0.007228,               0.007228
                     86,                0.79831,                0.68357,                 1.0617,                0.89421,                0.91151,                0.92894,                0.66563,                 1.0154,                0.55739,                 1.2381,               0.007195,               0.007195,               0.007195
                     87,                0.78947,                0.67526,                 1.0597,                0.90479,                0.90142,                0.92923,                0.66516,                 1.0147,                0.55556,                 1.2386,               0.007162,               0.007162,               0.007162
                     88,                0.79374,                0.68213,                 1.0621,                0.90971,                0.90181,                0.93058,                 0.6686,                 1.0143,                0.55292,                  1.239,               0.007129,               0.007129,               0.007129
                     89,                0.78999,                0.67412,                 1.0589,                0.90425,                0.90216,                0.93206,                0.66702,                 1.0163,                0.55218,                 1.2409,               0.007096,               0.007096,               0.007096
                     90,                0.79011,                0.67657,                 1.0611,                 0.9036,                0.89842,                0.93199,                0.66792,                 1.0185,                0.55146,                  1.243,               0.007063,               0.007063,               0.007063
                     91,                0.78637,                0.67401,                 1.0596,                0.87751,                0.92511,                0.93096,                 0.6682,                 1.0201,                0.55074,                 1.2445,                0.00703,                0.00703,                0.00703
                     92,                0.78755,                0.66715,                 1.0563,                0.88296,                0.91893,                0.93082,                 0.6677,                 1.0217,                0.55228,                 1.2473,               0.006997,               0.006997,               0.006997
                     93,                0.78637,                0.67147,                 1.0571,                0.88883,                0.91425,                0.92964,                0.66694,                 1.0205,                0.55472,                  1.247,               0.006964,               0.006964,               0.006964
                     94,                0.77933,                0.65675,                 1.0519,                0.88972,                0.90731,                 0.9304,                0.66772,                 1.0198,                0.55528,                 1.2471,               0.006931,               0.006931,               0.006931
                     95,                0.77971,                0.66163,                 1.0532,                0.89178,                0.91029,                0.93058,                0.66809,                 1.0205,                0.55691,                  1.249,               0.006898,               0.006898,               0.006898
                     96,                0.77759,                0.66651,                 1.0539,                0.88879,                 0.9139,                0.93027,                0.66655,                 1.0201,                0.55619,                  1.249,               0.006865,               0.006865,               0.006865
                     97,                0.77791,                0.65773,                 1.0551,                0.89922,                0.90387,                0.93089,                0.66714,                 1.0217,                0.55565,                 1.2511,               0.006832,               0.006832,               0.006832
                     98,                0.77738,                0.65668,                 1.0511,                0.90448,                0.89784,                0.93051,                  0.667,                 1.0226,                0.55775,                 1.2516,               0.006799,               0.006799,               0.006799
                     99,                0.77534,                0.64381,                 1.0517,                0.90471,                0.90018,                0.93034,                0.66807,                 1.0235,                0.55931,                 1.2515,               0.006766,               0.006766,               0.006766
                    100,                0.76981,                0.65296,                 1.0484,                0.90174,                0.90373,                0.93024,                0.66729,                 1.0249,                0.55827,                 1.2526,               0.006733,               0.006733,               0.006733
                    101,                0.76686,                 0.6423,                 1.0493,                0.90093,                0.90405,                0.93024,                0.66739,                 1.0258,                0.55884,                 1.2534,                 0.0067,                 0.0067,                 0.0067
                    102,                0.76649,                0.65199,                 1.0499,                0.90508,                0.90307,                0.92982,                0.66648,                 1.0268,                0.55978,                 1.2545,               0.006667,               0.006667,               0.006667
                    103,                 0.7699,                0.64916,                 1.0496,                0.90336,                0.90132,                0.92923,                0.66674,                 1.0261,                0.56061,                 1.2548,               0.006634,               0.006634,               0.006634
                    104,                0.76313,                0.63284,                 1.0463,                0.90551,                0.90227,                0.92888,                0.66597,                 1.0253,                0.56213,                 1.2548,               0.006601,               0.006601,               0.006601
                    105,                0.75935,                0.62907,                 1.0447,                 0.8991,                  0.905,                0.92813,                0.66581,                 1.0241,                 0.5626,                 1.2544,               0.006568,               0.006568,               0.006568
                    106,                0.75737,                0.63171,                 1.0444,                0.90019,                0.90435,                 0.9276,                0.66506,                 1.0236,                0.56282,                 1.2553,               0.006535,               0.006535,               0.006535
                    107,                0.76108,                0.63601,                 1.0455,                0.90181,                0.90425,                0.92734,                0.66459,                 1.0245,                 0.5638,                  1.256,               0.006502,               0.006502,               0.006502
                    108,                0.75662,                0.63256,                 1.0444,                0.89955,                0.90578,                0.92788,                0.66494,                 1.0255,                0.56363,                 1.2568,               0.006469,               0.006469,               0.006469
                    109,                0.76026,                0.63092,                 1.0432,                0.90064,                0.90241,                0.92733,                0.66517,                 1.0258,                0.56466,                 1.2575,               0.006436,               0.006436,               0.006436
                    110,                0.75916,                 0.6303,                 1.0444,                0.89875,                0.90242,                0.92708,                0.66436,                 1.0258,                0.56552,                 1.2577,               0.006403,               0.006403,               0.006403
                    111,                0.74372,                 0.6308,                 1.0405,                0.89014,                0.91319,                0.92699,                0.66419,                 1.0259,                0.56553,                 1.2588,                0.00637,                0.00637,                0.00637
                    112,                0.74901,                0.62577,                 1.0413,                0.89297,                 0.9089,                0.92662,                0.66361,                 1.0269,                0.56646,                 1.2597,               0.006337,               0.006337,               0.006337
                    113,                0.74887,                 0.6219,                 1.0416,                0.89159,                 0.9118,                0.92656,                0.66335,                 1.0278,                0.56609,                 1.2607,               0.006304,               0.006304,               0.006304
                    114,                0.74615,                0.62243,                 1.0403,                0.89207,                0.91242,                0.92592,                0.66277,                 1.0279,                0.56671,                 1.2614,               0.006271,               0.006271,               0.006271
                    115,                0.74527,                0.61484,                 1.0427,                0.89257,                0.91395,                0.92557,                0.66161,                 1.0294,                0.56653,                  1.263,               0.006238,               0.006238,               0.006238
                    116,                 0.7426,                 0.6165,                 1.0384,                0.88886,                0.91514,                 0.9254,                0.66192,                 1.0299,                0.56577,                 1.2639,               0.006205,               0.006205,               0.006205
                    117,                0.74255,                0.61274,                 1.0376,                0.88824,                0.91529,                0.92512,                0.66183,                 1.0305,                0.56559,                 1.2651,               0.006172,               0.006172,               0.006172
                    118,                 0.7432,                0.61582,                 1.0376,                0.90937,                0.89409,                0.92511,                0.66143,                 1.0311,                0.56538,                 1.2663,               0.006139,               0.006139,               0.006139
                    119,                0.73665,                  0.612,                 1.0363,                0.90756,                0.89622,                  0.925,                0.66114,                 1.0314,                0.56548,                 1.2668,               0.006106,               0.006106,               0.006106
                    120,                0.73929,                0.60936,                 1.0365,                 0.8899,                0.91744,                0.92581,                0.66158,                 1.0322,                0.56616,                 1.2679,               0.006073,               0.006073,               0.006073
                    121,                0.73267,                0.60879,                 1.0355,                0.88959,                  0.916,                0.92573,                0.66171,                 1.0327,                0.56636,                 1.2686,                0.00604,                0.00604,                0.00604
                    122,                0.73326,                 0.6027,                 1.0359,                 0.8921,                0.91377,                0.92548,                0.66212,                 1.0331,                0.56646,                 1.2693,               0.006007,               0.006007,               0.006007
                    123,                0.73764,                0.61066,                 1.0378,                0.89632,                0.90779,                0.92565,                0.66166,                 1.0335,                0.56478,                   1.27,               0.005974,               0.005974,               0.005974
                    124,                0.72881,                0.60415,                 1.0351,                0.90035,                0.90114,                0.92543,                 0.6612,                 1.0339,                0.56479,                 1.2706,               0.005941,               0.005941,               0.005941
                    125,                0.72716,                0.60349,                 1.0301,                 0.8981,                0.90724,                0.92534,                0.66137,                 1.0344,                0.56504,                 1.2716,               0.005908,               0.005908,               0.005908
                    126,                0.72814,                0.60232,                 1.0316,                0.89768,                0.90596,                0.92545,                0.66138,                 1.0345,                0.56567,                 1.2718,               0.005875,               0.005875,               0.005875
                    127,                0.72857,                0.60783,                 1.0341,                0.89887,                0.90704,                0.92484,                0.66116,                 1.0352,                0.56647,                 1.2727,               0.005842,               0.005842,               0.005842
                    128,                0.72331,                0.60764,                  1.035,                0.89823,                0.90845,                0.92545,                0.66099,                 1.0351,                0.56683,                  1.273,               0.005809,               0.005809,               0.005809
                    129,                0.71818,                0.58899,                 1.0298,                0.89798,                0.90894,                0.92488,                0.66092,                 1.0355,                0.56675,                 1.2737,               0.005776,               0.005776,               0.005776
                    130,                0.72111,                0.59428,                 1.0305,                0.89581,                 0.9091,                0.92513,                 0.6612,                 1.0359,                0.56684,                 1.2742,               0.005743,               0.005743,               0.005743
                    131,                0.72495,                0.58569,                 1.0317,                0.91264,                0.89426,                0.92456,                0.66101,                 1.0363,                0.56643,                 1.2752,                0.00571,                0.00571,                0.00571
                    132,                 0.7168,                0.58441,                 1.0262,                0.89571,                0.91005,                 0.9246,                0.66085,                 1.0365,                 0.5663,                 1.2754,               0.005677,               0.005677,               0.005677
                    133,                0.71433,                0.58301,                 1.0283,                0.89635,                0.91046,                0.92449,                0.66157,                 1.0378,                0.56582,                  1.277,               0.005644,               0.005644,               0.005644
                    134,                0.71433,                 0.5827,                 1.0266,                0.89628,                0.91132,                 0.9243,                0.66026,                 1.0372,                 0.5662,                 1.2766,               0.005611,               0.005611,               0.005611
                    135,                0.71249,                 0.5825,                 1.0235,                0.89671,                 0.9127,                0.92458,                 0.6607,                 1.0374,                0.56484,                 1.2774,               0.005578,               0.005578,               0.005578
                    136,                0.71355,                0.58785,                 1.0289,                0.89784,                0.91224,                0.92439,                0.66082,                 1.0374,                0.56421,                 1.2777,               0.005545,               0.005545,               0.005545
                    137,                 0.7102,                0.58156,                 1.0239,                0.89958,                0.91226,                0.92461,                 0.6616,                 1.0376,                0.56461,                 1.2781,               0.005512,               0.005512,               0.005512
                    138,                0.70862,                0.57749,                 1.0244,                0.89926,                0.91231,                 0.9246,                0.66037,                 1.0369,                0.56524,                 1.2777,               0.005479,               0.005479,               0.005479
                    139,                0.70703,                0.57771,                 1.0221,                0.89968,                0.91227,                0.92463,                0.66046,                 1.0372,                0.56504,                 1.2785,               0.005446,               0.005446,               0.005446
                    140,                0.70858,                0.56947,                 1.0233,                0.89847,                0.91127,                0.92351,                0.65955,                 1.0373,                0.56582,                 1.2788,               0.005413,               0.005413,               0.005413
                    141,                0.70777,                0.57907,                 1.0244,                  0.901,                0.91116,                0.92333,                0.65913,                 1.0376,                0.56688,                 1.2796,                0.00538,                0.00538,                0.00538
                    142,                0.70149,                0.56772,                 1.0216,                0.90116,                0.91076,                 0.9232,                0.65856,                 1.0379,                0.56727,                 1.2801,               0.005347,               0.005347,               0.005347
                    143,                0.69081,                0.56836,                  1.018,                0.90112,                0.91005,                0.92388,                0.65886,                 1.0383,                0.56806,                 1.2806,               0.005314,               0.005314,               0.005314
                    144,                0.69377,                0.55866,                 1.0197,                0.90093,                0.90992,                0.92386,                0.65827,                 1.0385,                0.56826,                 1.2813,               0.005281,               0.005281,               0.005281
                    145,                0.69668,                0.56873,                 1.0202,                0.90121,                0.90856,                0.92382,                0.65801,                 1.0392,                0.56741,                 1.2827,               0.005248,               0.005248,               0.005248
                    146,                0.69613,                 0.5626,                 1.0208,                0.90243,                0.90815,                 0.9238,                0.65718,                 1.0397,                0.56681,                 1.2834,               0.005215,               0.005215,               0.005215
                    147,                0.68872,                0.56258,                 1.0177,                0.90406,                0.90773,                0.92388,                0.65809,                 1.0401,                0.56688,                 1.2842,               0.005182,               0.005182,               0.005182
                    148,                0.68912,                0.55673,                 1.0185,                0.90452,                0.90627,                0.92353,                0.65771,                 1.0405,                0.56684,                 1.2848,               0.005149,               0.005149,               0.005149
                    149,                0.69257,                0.55595,                 1.0194,                0.90327,                0.90825,                0.92374,                0.65845,                 1.0406,                0.56663,                 1.2855,               0.005116,               0.005116,               0.005116
                    150,                0.69102,                0.55565,                 1.0195,                0.90284,                0.90875,                0.92335,                0.65858,                 1.0406,                  0.567,                 1.2859,               0.005083,               0.005083,               0.005083
                    151,                0.68424,                0.55731,                 1.0136,                0.90412,                0.90904,                 0.9235,                0.65864,                 1.0409,                0.56648,                 1.2865,                0.00505,                0.00505,                0.00505
                    152,                0.68812,                 0.5571,                 1.0181,                0.90283,                0.91044,                0.92354,                0.65922,                 1.0406,                0.56674,                 1.2869,               0.005017,               0.005017,               0.005017
                    153,                0.68591,                0.55197,                 1.0159,                0.90752,                0.90563,                0.92358,                0.65882,                 1.0409,                0.56708,                 1.2878,               0.004984,               0.004984,               0.004984
                    154,                0.68656,                0.55087,                 1.0175,                0.90399,                0.91084,                0.92372,                 0.6587,                 1.0415,                0.56752,                 1.2887,               0.004951,               0.004951,               0.004951
                    155,                0.68218,                0.55144,                 1.0137,                0.90675,                0.90692,                 0.9236,                0.65851,                  1.042,                0.56767,                 1.2894,               0.004918,               0.004918,               0.004918
                    156,                0.68287,                0.54466,                  1.015,                0.90539,                0.91117,                0.92361,                0.65828,                 1.0422,                0.56849,                 1.2899,               0.004885,               0.004885,               0.004885
                    157,                0.67907,                0.55052,                 1.0138,                0.90226,                0.91192,                0.92345,                0.65831,                 1.0427,                0.56842,                 1.2905,               0.004852,               0.004852,               0.004852
                    158,                0.67744,                0.54534,                 1.0138,                 0.9026,                0.91196,                0.92359,                 0.6587,                 1.0432,                 0.5684,                 1.2914,               0.004819,               0.004819,               0.004819
                    159,                0.67299,                0.54738,                 1.0139,                0.90291,                0.91228,                0.92329,                 0.6586,                 1.0439,                0.56895,                 1.2922,               0.004786,               0.004786,               0.004786
                    160,                0.67685,                0.54792,                 1.0118,                0.90452,                0.91359,                0.92341,                0.65827,                  1.044,                 0.5693,                 1.2928,               0.004753,               0.004753,               0.004753
